Vendor,Location,Latitude,Longitude,Size,
aws,US East (Ohio) Region,40.417286,-82.907120,3,
aws,US West (Oregon) Region,43.804134,-120.554199,4,
aws,US East (Northern Virginia) Region,37.304501,-81.340088,6,
aws,US West (Northern California) Region,38.837521,-120.895821,3,
aws,Canada (Central) Region,56.130367,-106.346771,3,
aws,South America (São Paulo) Region,-23.533773,-46.625290,3,
aws,Europe (Ireland) Region,53.350140,-6.266155,3,
aws,Europe (London) Region,51.509865,-0.118092,3,
aws,Europe (Stockholm) Region,59.334591,18.063240,3,
aws,Europe (Frankfurt) Region,52.520008,13.404954,3,
aws,Europe (Paris) Region,48.864716,2.349014,3,
aws,Middle East (Bahrain) Region,26.201000,50.606998,3,
aws,Asia Pacific (Singapore) Region,1.290270,103.851959,3,
aws,Mainland China (Beijing) Region,39.913818,116.363625,2,
aws,Mainland China (Ningxia) Region,37.983456,106.212517,3,
aws,Asia Pacific (Sydney) Region,-33.865143,151.209900,3,
aws,Asia Pacific (Tokyo) Region,35.652832,139.839478,4,
aws,Asia Pacific (Seoul) Region,37.532600,127.024612,3,
aws,Asia Pacific (Osaka) Local Region,34.669529,135.497009,1,
aws,Asia Pacific (Mumbai) Region,19.076090,72.877426,3,
aws,Asia Pacific (Hong Kong) Region,22.302711,114.177216,3,
azure,East Asia           ,22.267,114.188,1,
azure,Southeast Asia      ,1.283,103.833,1,
azure,Central US          ,41.5908,-93.6208,1,
azure,East US             ,37.3719,-79.8164,1,
azure,East US 2           ,36.6681,-78.3889,1,
azure,West US             ,37.783,-122.417,1,
azure,North Central US    ,41.8819,-87.6278,1,
azure,South Central US    ,29.4167,-98.5,1,
azure,North Europe        ,53.3478,-6.2597,1,
azure,West Europe         ,52.3667,4.9,1,
azure,Japan West          ,34.6939,135.5022,1,
azure,Japan East          ,35.68,139.77,1,
azure,Brazil South        ,-23.55,-46.633,1,
azure,Australia East      ,-33.86,151.2094,1,
azure,Australia Southeast ,-37.8136,144.9631,1,
azure,South India         ,12.9822,80.1636,1,
azure,Central India       ,18.5822,73.9197,1,
azure,West India          ,19.088,72.868,1,
azure,Canada Central      ,43.653,-79.383,1,
azure,Canada East         ,46.817,-71.217,1,
azure,UK South            ,50.941,-0.799,1,
azure,UK West             ,53.427,-3.084,1,
azure,West Central US     ,40.890,-110.234,1,
azure,West US 2           ,47.233,-119.852,1,
azure,Korea Central       ,37.5665,126.9780,1,
azure,Korea South         ,35.1796,129.0756,1,
azure,France Central      ,46.3772,2.3730,1,
azure,France South        ,43.8345,2.1972,1,
azure,Australia Central   ,-35.3075,149.1244,1,
azure,Australia Central 2 ,-35.3075,149.1244,1,
azure,UAE Central         ,24.466667,54.366669,1,
azure,UAE North           ,25.266666,55.316666,1,
azure,South Africa North  ,-25.731340,28.218370,1,
azure,South Africa West   ,-34.075691,18.843266,1,
azure,Switzerland North   ,47.451542,8.564572,1,
azure,Switzerland West    ,46.204391,6.143158,1,
azure,Germany North       ,53.073635,8.806422,1,
azure,Germany West Central,50.110924,8.682127,1,
azure,Norway West         ,58.969975,5.733107,1,
azure,Norway East         ,59.913868,10.752245,1,
gcloud,South Carolina,34.0005985,-81.033268,1,
gcloud,OREGON,44.102134,-119.554199,1,
gcloud,LOS ANGELES,34.052235,-118.243683,1,
